source_row	name	source_category	source_subcategory	tool_url	publication_url	year	programming_language	proposed_primary_function	proposed_platforms	proposed_analysis_types	proposed_interfaces	proposed_resource_type	flags
52	MS2DECIDE	Annotation	Others	https://github.com/MejriY/MS2DECIDE	https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/cmtd.202400088	2025	Python	annotation_identification	platform_independent		python_package	programming_package	
70	AnnoSM	Annotation	Others	https://github.com/YangHuaLab/AnnoSM	https://pubs.acs.org/doi/10.1021/acs.analchem.3c04946	2024	R, Python	annotation_identification	platform_independent		python_package;r_package	programming_package	
71	ROASMI	RT		https://github.com/FangYuan717/ROASMI	https://jcheminf.biomedcentral.com/articles/10.1186/s13321-025-00968-8	2025	Python	annotation_identification	platform_independent	untargeted	python_package	programming_package	
78	CMSSP	Annotation	Molecular library retrieval	https://huggingface.co/OliXio/CMSSP	https://pubs.acs.org/doi/10.1021/acs.analchem.4c03724	2024	Python	annotation_identification	platform_independent		python_package	programming_package	
80	MS4MS	Annotation	Others	NA	https://www.biorxiv.org/content/10.64898/2025.12.02.691830v1	2025	Python	annotation_identification	lc_ms		python_package	database_knowledgebase	
81	RapidMass	Annotation	Workflow tools	https://github.com/Katherine00689/RapidMass	https://pubs.acs.org/doi/full/10.1021/acs.analchem.4c05062	2025	Not specified	annotation_identification	platform_independent		command_line	database_knowledgebase	
84	ShinyMetID	Annotation	Workflow tools	https://github.com/jjs3098/ShinyMetID	https://www.sciencedirect.com/science/article/abs/pii/S0169743923001119	2023	R	annotation_identification	gc_ms	untargeted	r_package	programming_package	
86	FeatureHunter	Exposomics		https://msomics.abrc.sinica.edu.tw/FeatureHunter/	https://pubs.acs.org/doi/10.1021/acs.est.3c04674	2023	C, C#	annotation_identification	platform_independent	exposomics		workflow_pipeline	
88	CRB-FCC	Annotation	Molecular formula prediction	https://github.com/iconSS/FCC/releases/tag/v1	https://pubs.acs.org/doi/full/10.1021/acs.analchem.5c03451	2025	Not specified	annotation_identification	lc_ms		command_line	database_knowledgebase	mixed_nmr_mentions
89	scFUMES	Single cell metabolomics		https://github.com/ChengF-Lab/scFUMES	https://www.researchsquare.com/article/rs-7207381/v1	2025	Python	annotation_identification	platform_independent		python_package	programming_package	consider_single_cell_analysis_type
